	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_97_5.txt	97	5	476.25	233.6	660.5	35.0	476.2	1137.33333333	267.428571429	12.5	606.6	19.2	31.75	79.5	27.3333333333	25.6	39.2	4.0	34.5	26.0	51.0	23.5	6.33333333333
alpha_rarefaction_97_6.txt	97	6	407.2	198.2	716.0	28.0	407.0	544.5	832.333333333	35.0	735.0	12.3333333333	39.2	28.2	19.75	23.5	102.0	8.0	31.7692307692	99.0	42.3333333333	19.25	13.0
alpha_rarefaction_97_7.txt	97	7	613.0	111.0	1390.0	46.5	531.6	468.0	350.0	28.0	319.125	15.0	71.5	46.5	13.5	35.0	26.0	5.5	38.75	48.5	38.0	57.0	12.0
alpha_rarefaction_97_8.txt	97	8	831.333333333	175.0	1745.5	33.25	424.0	620.2	447.2	29.0	1007.0	22.2	75.0	29.3333333333	20.0	25.6666666667	29.1428571429	5.0	29.8	61.0	77.0	17.0	18.0
alpha_rarefaction_97_9.txt	97	9	675.0	164.428571429	588.2	58.0	288.0	855.25	362.0	22.0	424.0	18.75	40.2	65.0	33.0	24.5	49.75	5.0	31.8	42.5	58.0	60.0	14.0
alpha_rarefaction_126_0.txt	126	0	1308.33333333	277.5	750.666666667	44.5	463.0	547.0	639.0	26.3333333333	523.6	18.5	80.6	31.0	27.0	20.0	35.1666666667	7.5	35.0909090909	86.0	48.0	28.0	15.0
alpha_rarefaction_126_1.txt	126	1	1280.0	174.25	917.0	26.6666666667	773.6	880.0	686.6	33.0	664.125	23.0	53.0	38.0	24.5	29.0	71.5	7.0	45.1111111111	38.0	30.0	109.0	13.0
alpha_rarefaction_126_2.txt	126	2	1790.5	337.0	974.2	35.0	366.0	933.0	836.75	39.5	562.0	19.75	40.0	46.5	24.2	31.0	44.3333333333	7.5	40.25	20.5	149.0	43.5	23.0
alpha_rarefaction_126_3.txt	126	3	4098.0	193.5	524.333333333	50.25	326.909090909	915.5	899.0	29.0	459.0	18.75	46.0	34.0	19.0	20.5	32.2	13.0	44.0	51.0	63.0	28.0	8.0
alpha_rarefaction_126_4.txt	126	4	1789.5	298.0	1097.25	41.5	673.2	572.6	736.0	23.0	737.0	18.3333333333	42.1428571429	43.5	33.0	24.0	55.25	9.0	56.0	34.25	74.3333333333	28.25	18.0
alpha_rarefaction_126_5.txt	126	5	1031.0	229.2	764.5	32.0	320.6	1170.5	565.428571429	24.5	602.111111111	17.3333333333	74.5	33.5	28.5	22.0	64.0	9.0	41.0	32.0	76.3333333333	22.6	17.5
alpha_rarefaction_126_6.txt	126	6	1110.0	224.0	1216.25	33.25	288.25	600.625	601.5	23.0	547.0	14.0	70.3333333333	56.25	23.5	37.0	43.6	7.5	25.1428571429	33.25	44.5	24.3333333333	8.0
alpha_rarefaction_126_7.txt	126	7	1623.5	152.25	630.428571429	28.0	521.0	1096.0	788.2	24.3333333333	865.6	15.5	34.1428571429	30.0	17.5	28.0	44.5	5.0	49.0	62.0	150.0	51.0	8.75
alpha_rarefaction_126_8.txt	126	8	480.5	287.0	1240.0	30.2	454.0	1756.0	755.2	72.0	525.333333333	15.0	102.5	32.3333333333	24.5	23.5	64.0	6.5	35.4285714286	95.0	44.6	29.0	14.0
alpha_rarefaction_126_9.txt	126	9	1309.33333333	541.0	580.142857143	37.75	318.076923077	714.142857143	962.5	61.0	663.125	20.0	75.0	60.0	18.0	22.75	65.0	8.0	37.5	85.0	43.5	65.5	17.5
alpha_rarefaction_155_0.txt	155	0	2579.0	180.363636364	1026.0	32.0	676.142857143	690.090909091	757.428571429	73.0	456.666666667	18.0	80.0	43.375	29.5	42.3333333333	36.0	5.0	37.8	30.5	60.0	28.0	8.0
alpha_rarefaction_155_1.txt	155	1	1529.75	663.0	896.0	39.0	432.0	1459.0	1270.0	32.0	656.333333333	22.0	133.0	62.0	29.5	26.0	38.25	9.0	43.8	33.0	73.5	44.75	13.3333333333
alpha_rarefaction_155_2.txt	155	2	1318.75	470.0	563.333333333	23.0	442.3	1278.0	547.0	43.0	606.153846154	16.0	46.4285714286	45.0	39.0	25.5	42.375	7.5	50.0	32.0	91.0	36.6	11.0
alpha_rarefaction_155_3.txt	155	3	877.142857143	327.666666667	942.428571429	74.3333333333	563.0	960.857142857	450.0	39.5	568.0	21.0	88.1666666667	45.1666666667	28.5	34.25	65.0	10.0	47.1	36.0	55.0	26.0	8.25
alpha_rarefaction_155_4.txt	155	4	995.0	405.6	895.0	35.25	536.8	794.0	451.0	67.5	568.333333333	25.0	88.75	37.1666666667	16.75	26.25	71.0	6.0	45.75	147.0	130.0	24.0	9.5
alpha_rarefaction_155_5.txt	155	5	1243.0	242.3	812.625	24.1111111111	402.5	870.375	1221.25	33.0	1116.14285714	16.5	47.0	47.2	18.0	30.3333333333	36.1666666667	9.0	40.0	56.0	97.3333333333	27.5	15.0
alpha_rarefaction_155_6.txt	155	6	751.666666667	359.166666667	912.0	32.8571428571	552.0	813.625	626.25	45.5	724.5	21.0	40.6	45.3333333333	19.0	25.2	60.2	6.5	41.875	34.25	66.0	36.5	7.25
alpha_rarefaction_155_7.txt	155	7	1930.0	282.5	895.0	54.25	401.5	746.6	934.0	53.0	600.1	15.0	54.75	44.6	56.0	24.75	50.75	4.0	38.625	48.75	56.6666666667	51.3333333333	9.0
alpha_rarefaction_155_8.txt	155	8	2733.5	320.428571429	869.375	27.5	536.75	699.8	1120.0	20.0	616.5	18.5	41.0	43.375	33.0	28.0	71.0	5.0	42.8571428571	117.0	185.0	25.0	18.5
alpha_rarefaction_155_9.txt	155	9	1557.0	259.428571429	803.0	54.25	290.5	901.0	690.0	98.0	566.333333333	24.5	50.25	66.0	30.5	31.2	59.3333333333	8.5	40.0	56.0	185.0	40.5	31.0
alpha_rarefaction_184_0.txt	184	0	1277.5	254.909090909	763.25	37.0	444.4	1174.0	1485.2	46.5	772.230769231	22.0	63.0	47.6	29.5	36.0	67.0	10.0	42.4285714286	55.0	101.0	46.0	15.0
alpha_rarefaction_184_1.txt	184	1	4005.0	258.076923077	771.272727273	44.6	334.526315789	808.75	1121.16666667	35.0	835.272727273	19.0	64.875	67.0	34.0	25.75	53.0	6.5	47.25	50.0	86.0	32.4285714286	17.5
alpha_rarefaction_184_2.txt	184	2	1131.0	218.0	887.3	48.5	592.272727273	1079.6	700.8	34.0	1025.8	25.0	93.3333333333	46.1666666667	30.3333333333	52.5	84.0	6.5	57.0	52.0	83.5	39.1666666667	18.5
alpha_rarefaction_184_3.txt	184	3	1363.2	381.25	904.272727273	25.6666666667	669.0	1301.14285714	844.25	60.0	793.0	20.75	72.1428571429	37.1111111111	29.5	30.0	77.75	10.0	42.8571428571	106.5	72.25	26.2	17.5
alpha_rarefaction_184_4.txt	184	4	1588.5	273.25	1300.14285714	38.0	807.333333333	1541.0	858.75	62.0	621.625	15.75	63.6666666667	95.75	25.5	30.0	92.0	5.0	37.1111111111	47.5	103.25	39.1666666667	31.0
alpha_rarefaction_184_5.txt	184	5	1060.42857143	360.0	796.25	47.2	531.666666667	1207.375	1140.5	52.3333333333	988.333333333	24.0	83.5	49.5	32.0	27.25	67.0	11.0	39.0	75.75	72.0	110.5	10.5
alpha_rarefaction_184_6.txt	184	6	1061.42857143	276.5	999.111111111	39.75	807.333333333	942.1	1197.5	52.3333333333	746.928571429	19.5	78.8571428571	49.0	26.5	25.5	40.4285714286	11.0	45.8571428571	45.2	140.0	42.5	15.0
alpha_rarefaction_184_7.txt	184	7	1118.16666667	268.111111111	940.1	43.3333333333	413.166666667	982.5	955.666666667	59.0	682.25	33.0	306.0	52.0	28.0	26.5	224.0	13.0	67.3333333333	55.25	89.5	25.1428571429	15.0
alpha_rarefaction_184_8.txt	184	8	1435.0	343.0	765.25	43.0	535.071428571	1037.1	632.1	27.0	957.8	18.2	45.1111111111	41.4285714286	22.0	26.0	108.5	5.0	49.0	37.75	78.75	23.5	39.0
alpha_rarefaction_184_9.txt	184	9	1293.2	205.769230769	741.0	37.0	379.625	764.25	996.142857143	27.2	679.076923077	28.5	85.0	50.5	25.5	36.0	46.1666666667	18.0	42.0	64.0	68.0	41.0	15.0
alpha_rarefaction_213_0.txt	213	0	1559.16666667	369.111111111	955.25	38.0	477.882352941	837.6875	943.666666667	28.0	674.352941176	16.75	74.0	59.6666666667	15.5	32.2	73.25	6.5	46.8571428571	47.2	66.6	35.1428571429	16.75
alpha_rarefaction_213_1.txt	213	1	1582.0	287.153846154	1139.54545455	39.0	545.714285714	988.714285714	965.75	43.0	1148.0	18.5	116.333333333	57.6666666667	30.5	32.3333333333	83.5	11.0	49.4285714286	107.5	141.0	33.0	12.0
alpha_rarefaction_213_2.txt	213	2	1437.14285714	518.0	1121.27272727	48.2	590.0	711.333333333	1091.11111111	59.0	773.0	19.0	44.0	48.0	32.0	23.0	70.2	7.5	39.8	112.0	84.5	34.2	9.75
alpha_rarefaction_213_3.txt	213	3	1746.5	262.076923077	1173.3	41.75	681.0	829.4	904.6	84.0	812.666666667	16.5	54.6666666667	52.1428571429	35.0	27.2	58.0	9.0	66.0	201.0	190.0	27.4285714286	13.3333333333
alpha_rarefaction_213_4.txt	213	4	1789.2	319.8	917.230769231	47.0	529.4	1113.09090909	955.8	27.0	899.583333333	28.3333333333	68.25	52.5	44.5	27.2	56.4285714286	8.5	51.0	38.75	86.2	38.6	15.0
alpha_rarefaction_213_5.txt	213	5	1788.2	342.833333333	1354.33333333	36.0	527.5	1495.11111111	799.25	34.75	701.0	19.5	90.75	58.0	57.0	40.0	115.0	7.0	52.0	40.0	96.75	42.5	10.75
alpha_rarefaction_213_6.txt	213	6	2037.6	328.25	1052.27272727	53.0	936.333333333	789.6875	1193.125	48.0	674.352941176	16.3333333333	70.0	56.0	22.3333333333	30.0	111.5	7.0	50.1428571429	45.1666666667	90.5	26.5	10.0
alpha_rarefaction_213_7.txt	213	7	2151.2	435.0	1194.54545455	39.0	727.083333333	921.071428571	1563.16666667	38.3333333333	847.071428571	17.5	70.5	50.0	24.0	23.5	53.1428571429	14.0	52.0	69.0	115.0	42.2	17.5
alpha_rarefaction_213_8.txt	213	8	1257.875	306.272727273	1203.0	54.0	545.0	1267.6	1208.85714286	48.0	910.461538462	20.5	69.0	66.6	39.0	27.0	67.0	11.0	46.1666666667	51.75	108.0	39.1666666667	18.5
alpha_rarefaction_213_9.txt	213	9	1338.85714286	313.545454545	896.428571429	52.75	637.071428571	1236.1	1077.66666667	43.0	756.055555556	19.5	75.0	122.5	21.5	29.25	54.4285714286	14.0	43.1428571429	80.5	103.25	41.5	9.5
alpha_rarefaction_242_0.txt	242	0	3069.0	553.428571429	1466.0	46.6	618.235294118	1341.08333333	873.615384615	53.3333333333	883.833333333	18.5	65.875	54.1428571429	38.0	41.0	85.5	7.0	45.625	73.0	124.333333333	40.1666666667	14.0
alpha_rarefaction_242_1.txt	242	1	6050.5	305.083333333	987.0	43.1428571429	535.105263158	1032.625	1752.5	42.5	687.954545455	26.5	129.0	63.5	50.5	34.3333333333	109.0	10.0	46.875	55.6666666667	87.2	44.1428571429	12.5
alpha_rarefaction_242_2.txt	242	2	2801.25	362.461538462	1722.11111111	46.6	650.5	1203.0	1131.0	35.2	833.5	19.0	77.0	56.4285714286	29.0	32.0	57.125	6.5	49.0	89.0	97.75	42.2	10.0
alpha_rarefaction_242_3.txt	242	3	4139.33333333	306.571428571	2068.375	43.2	572.0	833.789473684	1159.1	33.0	808.166666667	24.0	130.0	76.25	40.0	32.0	93.0	7.0	54.0	72.0	90.5	35.75	16.75
alpha_rarefaction_242_4.txt	242	4	1443.0	331.25	1094.07692308	33.1428571429	758.769230769	918.5	1072.0	67.5	741.789473684	20.0	58.5	50.3333333333	45.5	29.5	179.0	14.0	51.75	128.0	62.5	39.0	22.5
alpha_rarefaction_242_5.txt	242	5	3068.0	383.090909091	1935.5	52.0	679.214285714	982.882352941	1176.3	42.5	906.75	23.0	92.2	228.0	35.0	25.3333333333	100.333333333	11.0	50.1428571429	87.5	86.2	41.125	20.0
alpha_rarefaction_242_6.txt	242	6	1539.25	328.6	1085.0	42.0	706.571428571	2094.125	884.5	42.2	745.0	19.0	104.0	47.375	40.0	34.3333333333	91.5	14.0	66.0	104.0	79.5	39.0	16.0
alpha_rarefaction_242_7.txt	242	7	2363.2	400.545454545	1126.07142857	49.5	673.0	1385.08333333	1046.1	42.5	657.476190476	23.0	99.0	60.0	34.0	33.5	60.25	14.0	56.6	71.25	76.0	26.5	14.3333333333
alpha_rarefaction_242_8.txt	242	8	1637.625	347.833333333	1119.0	50.2	668.666666667	1341.08333333	1117.1	59.0	906.75	26.5	98.5	76.0	26.25	33.3333333333	97.75	14.0	51.75	86.5	90.5	57.6	16.75
alpha_rarefaction_242_9.txt	242	9	2181.0	393.272727273	1309.5	49.2	570.833333333	988.0	1028.8	51.25	826.588235294	21.5	138.0	62.2	40.0	35.0	155.5	14.0	43.5	70.25	66.5	45.0	15.75
alpha_rarefaction_271_0.txt	271	0	1910.625	351.0	1433.83333333	51.2	709.0	1264.06666667	1518.33333333	56.0	919.25	21.5	106.0	74.2	32.0	38.25	80.75	14.0	54.2	71.25	110.0	30.0909090909	14.3333333333
alpha_rarefaction_271_1.txt	271	1	1911.625	352.0	1212.0	59.25	1171.1	1129.64705882	1156.90909091	39.6	868.0	29.5	149.333333333	61.6666666667	45.5	39.0	76.25	11.0	50.4285714286	64.6	92.6	40.125	16.75
alpha_rarefaction_271_2.txt	271	2	2183.0	581.111111111	1126.875	51.5	855.071428571	1154.55555556	1725.375	39.6	868.0	29.5	215.5	68.5	34.0	38.0	91.5	14.0	48.8571428571	63.5	117.0	32.0	16.75
