	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_97_6.txt	97	6	65.0	50.0	77.0	19.0	71.0	82.0	73.0	14.0	87.0	12.0	21.0	21.0	16.0	20.0	24.0	5.0	29.0	21.0	24.0	14.0	7.0
alpha_rarefaction_97_7.txt	97	7	62.0	45.0	76.0	19.0	76.0	77.0	71.0	14.0	75.0	13.0	19.0	27.0	13.0	20.0	22.0	5.0	29.0	21.0	23.0	18.0	6.0
alpha_rarefaction_97_8.txt	97	8	72.0	52.0	85.0	22.0	70.0	80.0	69.0	15.0	82.0	18.0	24.0	20.0	15.0	21.0	24.0	5.0	27.0	22.0	22.0	12.0	8.0
alpha_rarefaction_97_9.txt	97	9	65.0	53.0	77.0	23.0	68.0	85.0	67.0	15.0	79.0	15.0	22.0	26.0	19.0	17.0	27.0	4.0	29.0	20.0	28.0	15.0	9.0
alpha_rarefaction_126_0.txt	126	0	90.0	65.0	98.0	27.0	94.0	102.0	84.0	17.0	105.0	16.0	30.0	25.0	17.0	18.0	26.0	6.0	31.0	26.0	26.0	16.0	10.0
alpha_rarefaction_126_1.txt	126	1	90.0	68.0	98.0	22.0	93.0	104.0	86.0	18.0	106.0	18.0	23.0	23.0	17.0	23.0	26.0	6.0	35.0	20.0	23.0	18.0	8.0
alpha_rarefaction_126_2.txt	126	2	89.0	71.0	100.0	23.0	93.0	108.0	86.0	17.0	112.0	16.0	25.0	27.0	20.0	22.0	26.0	6.0	32.0	18.0	29.0	16.0	8.0
alpha_rarefaction_126_3.txt	126	3	93.0	66.0	99.0	24.0	88.0	107.0	89.0	15.0	103.0	15.0	26.0	25.0	16.0	18.0	25.0	7.0	33.0	25.0	28.0	14.0	7.0
alpha_rarefaction_126_4.txt	126	4	88.0	70.0	96.0	25.0	88.0	107.0	88.0	16.0	99.0	15.0	25.0	27.0	19.0	19.0	29.0	6.0	30.0	23.0	29.0	17.0	8.0
alpha_rarefaction_126_5.txt	126	5	81.0	57.0	97.0	23.0	86.0	101.0	91.0	14.0	106.0	14.0	27.0	26.0	18.0	19.0	29.0	6.0	30.0	23.0	31.0	17.0	10.0
alpha_rarefaction_126_6.txt	126	6	83.0	59.0	100.0	22.0	87.0	100.0	88.0	16.0	102.0	13.0	25.0	30.0	16.0	22.0	28.0	6.0	25.0	22.0	28.0	15.0	7.0
alpha_rarefaction_126_7.txt	126	7	83.0	66.0	96.0	22.0	92.0	106.0	91.0	15.0	100.0	14.0	23.0	24.0	16.0	21.0	22.0	5.0	34.0	23.0	30.0	18.0	8.0
alpha_rarefaction_126_8.txt	126	8	78.0	66.0	100.0	23.0	94.0	106.0	91.0	17.0	100.0	13.0	26.0	23.0	17.0	21.0	29.0	6.0	29.0	27.0	29.0	15.0	9.0
alpha_rarefaction_126_9.txt	126	9	91.0	64.0	94.0	24.0	93.0	103.0	91.0	16.0	105.0	15.0	24.0	30.0	16.0	19.0	26.0	5.0	33.0	25.0	27.0	20.0	10.0
alpha_rarefaction_155_0.txt	155	0	104.0	69.0	122.0	23.0	104.0	125.0	106.0	18.0	120.0	16.0	34.0	32.0	19.0	24.0	27.0	5.0	35.0	23.0	30.0	16.0	7.0
alpha_rarefaction_155_1.txt	155	1	112.0	73.0	116.0	26.0	110.0	125.0	106.0	17.0	129.0	17.0	33.0	32.0	19.0	22.0	30.0	6.0	36.0	21.0	28.0	22.0	10.0
alpha_rarefaction_155_2.txt	155	2	106.0	71.0	117.0	21.0	102.0	135.0	102.0	15.0	128.0	13.0	27.0	32.0	18.0	18.0	31.0	6.0	37.0	23.0	34.0	21.0	8.0
alpha_rarefaction_155_3.txt	155	3	112.0	71.0	117.0	29.0	108.0	120.0	102.0	17.0	118.0	16.0	34.0	30.0	18.0	23.0	30.0	7.0	38.0	25.0	31.0	17.0	8.0
alpha_rarefaction_155_4.txt	155	4	102.0	75.0	115.0	24.0	109.0	127.0	103.0	22.0	122.0	15.0	31.0	28.0	16.0	21.0	31.0	5.0	36.0	27.0	35.0	17.0	8.0
alpha_rarefaction_155_5.txt	155	5	103.0	77.0	117.0	23.0	105.0	121.0	105.0	18.0	130.0	15.0	26.0	29.0	15.0	21.0	27.0	6.0	34.0	23.0	34.0	20.0	10.0
alpha_rarefaction_155_6.txt	155	6	99.0	74.0	117.0	25.0	107.0	118.0	103.0	18.0	125.0	16.0	25.0	27.0	17.0	21.0	33.0	6.0	35.0	23.0	32.0	20.0	7.0
alpha_rarefaction_155_7.txt	155	7	110.0	70.0	115.0	28.0	104.0	125.0	109.0	20.0	115.0	14.0	31.0	29.0	20.0	21.0	28.0	4.0	33.0	26.0	34.0	21.0	8.0
alpha_rarefaction_155_8.txt	155	8	107.0	76.0	120.0	23.0	101.0	122.0	110.0	15.0	126.0	16.0	26.0	32.0	18.0	21.0	31.0	5.0	35.0	26.0	32.0	19.0	11.0
alpha_rarefaction_155_9.txt	155	9	100.0	70.0	110.0	28.0	106.0	124.0	108.0	20.0	120.0	17.0	24.0	31.0	20.0	24.0	29.0	7.0	35.0	23.0	32.0	21.0	10.0
alpha_rarefaction_184_0.txt	184	0	127.0	83.0	138.0	26.0	121.0	142.0	128.0	19.0	147.0	17.0	33.0	32.0	19.0	22.0	33.0	7.0	36.0	31.0	33.0	20.0	10.0
alpha_rarefaction_184_1.txt	184	1	130.0	88.0	133.0	29.0	119.0	142.0	122.0	17.0	142.0	16.0	36.0	33.0	20.0	22.0	32.0	6.0	39.0	29.0	35.0	23.0	10.0
alpha_rarefaction_184_2.txt	184	2	128.0	78.0	137.0	29.0	124.0	148.0	123.0	23.0	148.0	18.0	30.0	31.0	21.0	25.0	33.0	6.0	37.0	26.0	36.0	24.0	11.0
alpha_rarefaction_184_3.txt	184	3	120.0	88.0	142.0	24.0	119.0	140.0	122.0	21.0	148.0	17.0	36.0	31.0	19.0	23.0	35.0	7.0	35.0	30.0	34.0	19.0	10.0
alpha_rarefaction_184_4.txt	184	4	117.0	89.0	139.0	27.0	129.0	151.0	123.0	17.0	145.0	15.0	32.0	38.0	18.0	23.0	32.0	5.0	34.0	30.0	40.0	24.0	13.0
alpha_rarefaction_184_5.txt	184	5	124.0	81.0	140.0	29.0	132.0	143.0	123.0	22.0	141.0	19.0	31.0	30.0	17.0	22.0	33.0	8.0	35.0	33.0	32.0	25.0	9.0
alpha_rarefaction_184_6.txt	184	6	125.0	77.0	138.0	26.0	129.0	142.0	124.0	22.0	148.0	17.0	36.0	34.0	19.0	22.0	31.0	8.0	38.0	27.0	35.0	25.0	10.0
alpha_rarefaction_184_7.txt	184	7	119.0	78.0	140.0	25.0	127.0	144.0	114.0	20.0	136.0	19.0	30.0	31.0	21.0	23.0	34.0	7.0	37.0	29.0	37.0	20.0	10.0
alpha_rarefaction_184_8.txt	184	8	124.0	83.0	140.0	30.0	130.0	146.0	117.0	18.0	145.0	17.0	30.0	32.0	17.0	21.0	32.0	5.0	36.0	24.0	36.0	20.0	11.0
alpha_rarefaction_184_9.txt	184	9	116.0	83.0	136.0	26.0	118.0	139.0	124.0	20.0	139.0	18.0	35.0	31.0	18.0	24.0	31.0	8.0	37.0	30.0	34.0	19.0	10.0
alpha_rarefaction_213_0.txt	213	0	140.0	93.0	156.0	27.0	138.0	167.0	137.0	19.0	158.0	16.0	32.0	37.0	15.0	25.0	35.0	6.0	39.0	29.0	36.0	24.0	13.0
