	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_97_2.txt	97	2	17.12045	11.76311	16.51965	4.48029	19.11332	18.68782	14.31716	3.59098	20.75629	3.39216	7.19859	6.24643	3.83869	3.29761	5.31352	2.4239	6.55211	4.23478	5.74662	5.10264	3.02624
alpha_rarefaction_97_3.txt	97	3	13.99998	13.59508	16.67122	4.549	17.14188	20.16765	14.16271	3.16591	20.14535	3.9132	6.14538	6.36595	3.36061	3.27416	7.17652	2.37921	6.31476	4.47666	5.94374	3.77139	3.26874
alpha_rarefaction_97_4.txt	97	4	15.9585	13.01889	17.02461	4.96932	15.24251	17.39568	15.70583	3.6521	19.5861	3.59115	6.15126	5.448	3.39196	3.22043	6.48799	2.70181	7.2149	4.00105	6.28359	3.54649	2.68345
alpha_rarefaction_97_5.txt	97	5	15.60497	12.84296	16.60706	3.92228	18.09096	19.55285	13.93203	2.82451	21.38113	3.85529	5.42961	5.75956	4.04082	3.28473	7.53776	1.91107	6.67612	4.27585	5.4864	4.04336	2.78807
alpha_rarefaction_97_6.txt	97	6	14.49574	10.97226	16.9398	3.83098	16.53309	18.4992	15.52774	3.30602	22.15452	3.24993	6.31715	5.14577	3.45314	3.35255	6.00316	1.93173	6.08618	5.23524	6.19685	4.13082	3.0272
alpha_rarefaction_97_7.txt	97	7	15.00773	11.49403	16.38182	3.69365	17.39718	16.50639	16.07672	3.39538	18.619	3.69099	6.5994	5.99119	3.29032	3.28896	6.00441	2.4239	7.25712	4.86503	5.3851	4.99141	2.78205
alpha_rarefaction_97_8.txt	97	8	16.36962	13.19692	20.82618	4.79465	17.32612	19.93826	16.96837	3.17691	20.76618	4.18933	6.89597	4.85482	3.42314	3.28352	6.95568	2.35855	6.05403	4.87537	4.9262	3.83528	3.50021
alpha_rarefaction_97_9.txt	97	9	16.02128	13.49482	16.9934	4.61486	17.6382	22.15814	15.30742	3.40964	20.22728	3.89268	5.48462	5.82338	3.78309	3.31674	8.23739	1.95621	6.46043	4.44975	6.18384	4.58482	3.74483
alpha_rarefaction_126_0.txt	126	0	19.77795	14.80141	19.77143	5.74898	20.22411	22.07059	17.74286	3.29784	25.14796	3.87835	7.24829	6.32214	3.4242	3.16951	6.04126	2.4735	6.7639	4.87517	5.7383	4.79515	3.96323
alpha_rarefaction_126_1.txt	126	1	20.66779	14.8637	20.80865	4.9029	21.2614	22.67312	17.14325	3.89683	25.81929	4.2221	6.60466	5.32156	3.77425	3.68625	6.48853	2.87138	7.25592	4.6456	5.60584	4.28127	3.40852
alpha_rarefaction_126_2.txt	126	2	20.20615	16.34208	21.24785	4.69746	22.05558	22.59068	18.64951	3.42348	25.84533	4.05808	7.21808	5.8396	4.10029	3.68995	7.36165	2.53885	7.541	4.14715	6.8478	4.49517	3.01663
alpha_rarefaction_126_3.txt	126	3	20.81278	14.85645	20.22768	4.64214	21.45859	23.99024	17.99928	3.73947	24.73135	3.89752	7.73368	6.20203	3.44921	3.19833	6.82447	2.89204	7.66049	5.12693	5.26598	4.26149	3.27518
alpha_rarefaction_126_4.txt	126	4	20.35444	16.56223	21.51202	5.33924	19.88925	22.68217	18.60084	3.41814	23.09508	3.91417	6.83975	6.06521	3.69247	3.27472	6.58284	2.37921	6.39637	4.37117	5.51061	5.33381	3.52343
alpha_rarefaction_126_5.txt	126	5	17.94006	12.2737	21.74323	4.75589	19.9362	22.00471	18.8404	3.83089	25.13621	3.75644	7.02943	6.10554	3.49905	3.19274	8.19126	2.37921	6.16181	4.49357	6.59895	5.25428	3.93273
alpha_rarefaction_126_6.txt	126	6	17.52474	13.34557	20.6257	4.12983	19.54673	23.00251	19.64769	3.63173	24.34341	3.78207	5.91666	6.16161	3.76522	3.57857	8.07268	2.65927	6.56642	4.72943	6.62322	4.86562	3.19434
alpha_rarefaction_126_7.txt	126	7	19.57904	13.90012	19.4226	4.72186	19.92785	21.51283	19.26573	3.71436	24.14506	3.6598	6.93215	5.54914	3.72673	3.3615	6.51823	2.4239	7.88109	4.68805	6.16041	5.09344	3.36374
alpha_rarefaction_126_8.txt	126	8	17.54789	13.65619	21.35263	4.61781	21.83992	23.03874	18.20881	3.41392	23.09283	3.62276	7.39295	6.09644	3.79676	3.23511	7.91175	2.37921	6.11864	5.69307	5.7502	3.86452	3.75976
alpha_rarefaction_126_9.txt	126	9	18.64532	14.78208	18.8911	4.35455	21.02749	22.53499	19.35991	3.33998	23.38553	3.83539	7.09185	6.49969	3.96336	3.5068	7.69645	2.30608	7.33231	4.7529	6.14465	4.72341	3.69857
alpha_rarefaction_155_0.txt	155	0	21.50639	14.85397	25.32963	4.72819	24.06518	26.80982	21.66796	3.55469	27.85958	4.05808	8.49697	6.89368	3.71474	3.44563	7.59797	2.35855	7.34793	5.13846	5.85224	5.10535	2.85201
alpha_rarefaction_155_1.txt	155	1	23.55562	16.58224	25.5416	5.35058	23.62153	26.37005	23.06794	3.51106	28.65167	4.02858	8.30003	6.6814	3.56897	3.62659	7.92952	2.53885	7.37272	4.65487	6.57351	5.23175	3.82335
alpha_rarefaction_155_2.txt	155	2	22.27155	15.98811	24.06202	4.86069	22.60741	28.77932	20.12095	3.54554	28.81452	3.70502	5.60526	7.05011	3.87366	3.51046	8.59902	2.87138	7.48207	5.18258	7.79348	5.13533	3.53783
alpha_rarefaction_155_3.txt	155	3	22.79337	15.77658	24.07181	5.5755	23.40749	26.36926	21.75385	3.99297	27.83774	3.98313	8.79875	6.53587	3.94385	3.59446	7.77901	2.65712	8.00859	4.84726	7.05328	4.27311	3.30587
alpha_rarefaction_155_4.txt	155	4	22.36705	16.58468	23.55696	4.59769	23.43345	25.80397	20.85657	4.04032	25.08401	3.98451	7.78518	5.92621	3.72485	3.30987	8.03938	2.19559	7.95179	5.34712	7.29279	5.0354	3.31217
alpha_rarefaction_155_5.txt	155	5	22.34493	17.77563	22.81304	4.84448	22.01542	25.04785	21.91822	4.00313	28.71368	3.86076	7.15445	5.71026	3.42502	3.63699	7.20402	2.37921	7.31022	4.7151	7.35662	5.84229	4.1232
alpha_rarefaction_155_6.txt	155	6	20.30319	16.55853	25.21428	5.55314	22.88776	24.68929	21.80076	3.69866	29.59648	4.10474	7.26572	6.11945	3.65376	3.50808	8.86906	2.20964	7.69177	4.39017	7.25191	5.6374	3.33359
alpha_rarefaction_155_7.txt	155	7	23.41031	15.64933	23.72012	5.16591	22.65051	25.39524	21.07742	3.53513	26.10058	3.91051	7.89462	6.85005	3.99341	3.58841	7.70434	1.91107	7.67879	5.75493	7.97224	5.0535	3.30587
alpha_rarefaction_155_8.txt	155	8	22.82667	17.16599	24.37291	4.35322	23.2782	23.55983	21.9806	3.1999	28.81664	4.05769	8.17177	7.15243	3.76	3.36251	8.20373	1.93173	7.66288	5.05641	5.99564	4.99224	3.98476
alpha_rarefaction_155_9.txt	155	9	22.00722	15.16939	22.00763	5.57626	22.32323	28.4158	20.76821	3.85508	28.27109	4.06135	6.10546	6.49102	3.88709	3.65881	8.08203	2.89204	7.53096	5.10234	6.6873	6.01022	3.77441
alpha_rarefaction_184_0.txt	184	0	26.67382	17.68892	26.58129	5.4189	24.07236	27.89975	25.08623	3.57197	28.57139	4.14914	8.28112	6.82013	3.90304	3.40878	8.84685	3.14929	7.93206	5.81624	7.37656	6.03798	4.14341
alpha_rarefaction_184_1.txt	184	1	25.5299	18.65414	25.14972	5.56668	25.13724	27.9274	23.5192	3.7906	30.78729	4.10474	8.18474	6.9051	3.9656	3.62751	8.70706	2.63646	8.00915	5.3707	7.34895	6.34432	3.62767
alpha_rarefaction_184_2.txt	184	2	26.31546	17.12637	28.41626	5.55657	26.72377	29.73807	24.63936	4.19348	32.38143	4.2231	7.47943	6.99473	3.8527	3.72215	8.50532	2.70181	7.96986	5.23559	7.69396	5.92804	3.88647
alpha_rarefaction_184_3.txt	184	3	24.72533	18.45892	28.39689	4.92892	25.01261	28.65982	23.52918	4.17675	32.5993	4.02539	8.85625	6.40927	3.73409	3.40588	8.82419	2.72247	7.57462	6.23903	6.94817	4.93214	3.78622
alpha_rarefaction_184_4.txt	184	4	24.15343	18.43656	27.98616	5.59884	26.11247	29.94519	22.83865	3.51966	30.90991	3.67253	7.89888	7.24903	3.63249	3.3403	7.92854	2.35855	6.91637	5.74319	8.07935	6.05346	4.43749
alpha_rarefaction_184_5.txt	184	5	26.16007	16.7106	27.66455	5.53975	26.62371	29.12226	22.78186	4.23822	30.28688	4.22637	7.81835	6.66459	3.60476	3.64744	9.09738	3.16995	7.41657	6.08668	7.11514	6.26101	3.69001
alpha_rarefaction_184_6.txt	184	6	26.1601	17.32126	28.91266	5.54085	27.61074	29.60963	24.24155	3.51163	32.4601	4.21844	9.30116	7.12099	3.92953	3.30945	8.40215	3.16995	7.64267	5.3599	6.72289	6.23576	3.91476
alpha_rarefaction_184_7.txt	184	7	24.27847	16.14325	25.61773	4.82798	25.59479	28.6239	22.77788	3.60062	28.32186	4.22637	8.29219	6.25823	4.2048	3.60986	8.23	2.89204	6.91034	5.37977	7.76112	5.36072	3.71985
alpha_rarefaction_184_8.txt	184	8	26.22731	17.55495	28.43602	5.73487	26.2638	29.38185	23.68364	3.64202	31.24758	4.02578	8.06365	6.72078	3.54032	3.33657	8.37169	2.4239	7.56997	5.09725	7.30788	5.47674	4.15885
alpha_rarefaction_184_9.txt	184	9	22.19738	17.37798	28.99122	4.72302	23.74321	28.34128	23.78696	3.85426	30.10142	4.2221	8.85302	6.62636	3.46637	3.62999	8.37153	3.16995	7.46097	5.49541	6.934	5.12844	3.78622
alpha_rarefaction_213_0.txt	213	0	27.37807	20.01209	29.80918	5.42132	26.5083	31.81481	26.35953	3.86614	33.20126	4.02151	8.47267	7.36207	3.72299	3.73118	8.72201	2.37921	8.3204	5.98727	7.19203	6.18155	4.43749
alpha_rarefaction_213_1.txt	213	1	26.9611	19.2697	30.43074	5.63037	26.66559	32.81145	25.0694	3.4999	32.81573	4.21883	7.58113	6.93691	4.08878	3.3755	8.44915	3.16995	8.21824	5.64718	7.38729	5.18757	3.93273
alpha_rarefaction_213_2.txt	213	2	27.61583	18.24084	29.47981	5.77363	27.02376	31.36234	27.72968	3.82792	32.70261	4.2221	7.39999	6.98678	3.47813	3.57258	9.25032	2.53885	8.18794	6.27509	7.71759	5.5683	3.74483
alpha_rarefaction_213_3.txt	213	3	29.16774	19.48346	30.34394	5.44032	27.26361	31.52577	27.4208	4.29064	34.91357	4.10147	8.2497	7.1203	4.25706	3.64361	8.97819	2.44456	8.40128	5.53128	7.95906	5.84994	4.00363
alpha_rarefaction_213_4.txt	213	4	28.54671	19.00817	30.48423	5.8064	26.74027	30.92576	26.45327	3.98116	34.73395	4.22637	7.75476	6.87793	4.23403	3.37799	9.3829	2.89204	7.38374	5.28819	8.19549	5.86194	3.9906
alpha_rarefaction_213_5.txt	213	5	26.62619	20.42726	31.53973	4.65289	28.84898	32.82869	27.19989	3.98228	33.51853	4.14853	8.25454	7.10497	4.21326	3.66991	9.07278	2.37921	8.33078	4.84466	7.91493	6.58767	3.97616
alpha_rarefaction_213_6.txt	213	6	28.69891	19.32397	29.35816	5.9475	28.74551	31.50324	29.00368	4.16268	33.77919	3.67308	8.80675	7.25677	3.99573	3.32053	8.8922	2.44456	7.8036	5.92271	7.61221	5.74742	3.39657
alpha_rarefaction_213_7.txt	213	7	29.17659	18.26498	32.60533	5.28113	27.47463	32.96571	26.42244	3.51999	33.16563	3.86403	8.22148	7.03797	3.58427	3.25181	9.59618	3.16995	8.19418	5.76535	7.23322	6.03149	3.77441
alpha_rarefaction_213_8.txt	213	8	28.64248	19.18571	32.03592	5.96406	29.35585	32.61046	25.66452	4.01693	33.7711	4.11267	8.50386	7.27598	4.2048	3.56892	8.77332	3.16995	7.99618	5.48572	7.68465	6.4353	4.06056
alpha_rarefaction_213_9.txt	213	9	27.60156	20.00821	31.45731	5.41325	27.96473	30.88125	28.37251	3.77476	34.47292	4.1094	8.6745	7.4286	3.74272	3.67744	8.76369	3.16995	8.12417	5.31215	7.97703	5.78995	3.59927
alpha_rarefaction_242_0.txt	242	0	29.88513	20.49767	32.96703	5.79145	29.64516	34.98121	29.23863	4.13146	38.21682	4.06235	9.29932	7.52359	4.25706	3.76634	8.99555	2.20964	8.30721	6.31581	7.619	6.37065	4.09678
alpha_rarefaction_242_1.txt	242	1	30.65947	20.6081	34.61079	5.83596	28.07598	34.50472	27.81349	4.3338	36.48516	4.22637	8.48699	7.30689	4.25706	3.70641	9.55401	2.72247	8.18802	5.87692	8.43342	6.60298	3.83191
alpha_rarefaction_242_2.txt	242	2	30.18065	20.44621	33.43236	5.82516	28.24352	35.52462	28.19754	3.95834	35.93463	3.83383	8.76044	7.54535	4.03926	3.68144	9.50838	2.20964	7.65689	6.00977	8.21226	6.36905	3.69001
alpha_rarefaction_242_3.txt	242	3	30.13923	21.14476	35.16885	5.55679	28.94843	34.50136	29.47525	4.40742	36.67312	4.22637	9.0531	7.39759	4.20643	3.40751	9.12707	2.70181	8.36591	6.46777	7.90199	6.35513	4.43749
alpha_rarefaction_242_4.txt	242	4	29.84196	19.67768	33.37972	5.03813	29.1094	33.48242	28.84933	3.72727	36.63574	4.21883	7.8862	7.31038	4.25706	3.62696	9.7957	3.16995	7.41182	6.10694	7.8212	6.76203	4.42893
alpha_rarefaction_242_5.txt	242	5	30.82861	20.67779	33.65003	5.84759	29.67248	34.58167	29.31517	3.74111	36.3692	4.11267	8.6212	7.55264	4.1681	3.27158	9.18388	3.16995	7.84739	6.48878	8.12064	6.79581	4.43749
alpha_rarefaction_242_6.txt	242	6	30.99203	18.80131	35.05968	5.79145	29.32917	34.52965	27.76071	4.4379	37.74925	4.1094	9.33479	7.22883	3.85433	3.72985	9.76931	3.16995	8.30448	5.85803	8.43279	6.74783	4.08822
alpha_rarefaction_242_7.txt	242	7	29.14639	21.48804	34.67861	5.83928	29.91291	35.72731	29.10258	4.22896	35.99331	4.1528	8.89774	6.88235	4.03926	3.36033	8.59376	3.16995	8.19406	5.81603	8.23116	5.37855	4.06056
alpha_rarefaction_242_8.txt	242	8	31.32998	21.59143	32.04974	5.76219	29.65094	35.62496	29.20097	4.1367	36.398	4.22637	9.22498	7.66923	4.11417	3.44042	9.45875	3.16995	8.13463	6.35137	7.17886	6.68736	4.43749
alpha_rarefaction_242_9.txt	242	9	30.96776	20.84433	33.10488	5.7381	28.05717	33.67619	26.76767	4.14843	35.44091	4.22637	8.92162	6.93835	3.85433	3.73039	9.79515	3.16995	8.1577	6.1362	8.04038	5.85717	4.15134
alpha_rarefaction_271_0.txt	271	0	33.06576	21.58773	35.51841	5.9753	31.30001	36.29547	31.9169	4.447	39.99748	4.22637	9.81268	7.65636	4.25706	3.76743	9.12108	3.16995	8.19417	6.29287	8.69634	5.93343	4.16406
alpha_rarefaction_271_1.txt	271	1	33.77675	22.01479	36.23583	5.97966	31.49852	37.12896	30.4171	4.39269	39.77192	4.22637	9.70275	7.38295	4.25706	3.70238	8.98451	3.16995	8.40018	6.42944	8.27531	6.73841	4.43749
alpha_rarefaction_271_2.txt	271	2	33.02305	22.57632	35.78365	5.98814	31.54348	37.78508	30.96842	4.39689	39.68914	4.22637	9.16145	7.46301	4.20643	3.76343	9.53131	3.16995	8.35865	6.49142	8.39221	6.63026	4.43749
alpha_rarefaction_271_3.txt	271	3	32.60606	22.1011	35.49107	5.96406	31.21956	37.28847	30.40446	3.88948	39.12697	4.22637	9.67604	7.45874	4.25706	3.478	9.55813	3.16995	8.30661	6.47417	8.17487	6.63026	4.43749
alpha_rarefaction_271_4.txt	271	4	33.31568	21.29049	35.5781	5.95186	32.14496	36.00116	30.91882	4.29712	39.90173	4.22637	9.69521	7.51699	4.1834	3.70846	9.32103	2.89204	8.23065	5.65332	7.77447	6.57639	4.43749
alpha_rarefaction_271_5.txt	271	5	33.27692	22.37623	36.14318	5.98814	30.16607	37.54911	30.1815	4.447	40.6706	4.22637	9.35712	7.43376	4.18925	3.76743	9.40565	3.16995	8.18967	6.42975	8.65172	6.79362	4.40184
alpha_rarefaction_271_6.txt	271	6	32.73767	21.46097	36.45346	5.82773	31.51201	37.99728	31.64118	4.43231	38.97742	4.22637	9.72358	7.66189	4.23403	3.76743	9.56485	2.87138	8.28697	6.49782	7.91316	6.68736	4.43749
alpha_rarefaction_271_7.txt	271	7	33.19483	21.51647	35.8996	5.96406	31.56534	38.21111	30.42968	3.81772	39.4558	4.22637	9.67778	7.47951	4.25706	3.76743	9.28222	3.16995	8.40128	6.1723	7.9541	6.53028	4.42893
alpha_rarefaction_271_8.txt	271	8	33.89489	21.86822	35.95962	5.96034	30.70162	37.32965	30.24303	4.447	38.79351	4.06135	9.19338	7.65763	4.25706	3.76743	9.42796	2.65712	8.40128	6.49782	8.4587	6.56037	4.43749
alpha_rarefaction_271_9.txt	271	9	33.00993	21.74113	35.44825	5.96034	31.1792	38.94227	30.23161	4.39744	39.85664	4.22637	9.45869	7.45813	4.03763	3.73942	9.59069	2.89204	8.38777	6.23887	8.69634	6.79581	4.42893
alpha_rarefaction_300_0.txt	300	0	35.73388	23.10804	38.52217	5.98814	32.91589	40.08324	33.18557	4.447	42.24406	4.22637	9.81794	7.66923	4.25706	3.76743	9.7957	3.16995	8.40128	6.49782	8.69634	6.79581	4.43749
