	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
E7.10.Ser.cali.1.20150622.T	0.893763797044	0.900008118149	0.931623153358	0.815001409456	0.90724427256	0.926849882107	0.917277704413	0.856379409452	0.917123169284	0.876136921976	0.0	0.822641130878	0.884236461012	0.865986360487	0.822208744423	0.828351288301	0.681175324327	0.75072567857	0.818154717639	0.718844922689	0.816527928019
E10.Ser.cali.3.20150627.T	0.917117793673	0.900821207247	0.923899220008	0.796619488474	0.906251019028	0.91582639044	0.921446438353	0.792131056676	0.918260705609	0.802179832122	0.822641130878	0.0	0.765115730051	0.815500757617	0.806435365465	0.829148627278	0.761032589128	0.704963663787	0.796589094161	0.807391595782	0.820028498525
E7.6.Acr.hyac.1.20150622.T	0.950886701575	0.916967551889	0.967756654506	0.788164101497	0.950191277649	0.965171029186	0.966756112516	0.681610532502	0.969304864963	0.788604059392	0.884236461012	0.765115730051	0.0	0.783373687969	0.830298394286	0.821507966354	0.8217796439	0.733683109935	0.815109562163	0.86034675644	0.857776259697
E7.6.Acr.hyac.2.20150622.T	0.955722792987	0.942436913284	0.968912503267	0.769241541317	0.959411945085	0.961106900585	0.960088656853	0.629509876055	0.965403642534	0.644507523731	0.865986360487	0.815500757617	0.783373687969	0.0	0.868184807135	0.77257310283	0.849765533356	0.817543245301	0.836614283474	0.844892348775	0.843566332442
E7.10.Poc.dami.3.20150621.T	0.86253852365	0.822645854556	0.888121242469	0.801709994784	0.885929534732	0.89518106635	0.886903635066	0.850791826999	0.890702341707	0.867372959735	0.822208744423	0.806435365465	0.830298394286	0.868184807135	0.0	0.863538552292	0.771968705649	0.801658928286	0.765040270339	0.803887049345	0.875919182251
E10.Poc.dami.1.20150628.T	0.961637760422	0.939256058066	0.964868648784	0.773352353016	0.957427875392	0.961267127022	0.952445358943	0.789973089155	0.96499574161	0.77412853525	0.828351288301	0.829148627278	0.821507966354	0.77257310283	0.863538552292	0.0	0.762722448373	0.79593562561	0.834604505902	0.696771797494	0.695097163068
E7.10.Ser.cali.3.20150622.T	0.923009160306	0.899033497568	0.929905771585	0.808724232138	0.91487174019	0.922377758066	0.918952747456	0.813016256925	0.928174751738	0.849148411839	0.681175324327	0.761032589128	0.8217796439	0.849765533356	0.771968705649	0.762722448373	0.0	0.701560487406	0.799474503889	0.607667176065	0.75811005708
E7.10.Poc.dami.1.20150621.T	0.921185325135	0.902701488621	0.93797057975	0.78534510182	0.904553665008	0.940191339117	0.936351660133	0.754085857361	0.932598400711	0.818338783893	0.75072567857	0.704963663787	0.733683109935	0.817543245301	0.801658928286	0.79593562561	0.701560487406	0.0	0.769165465062	0.813690503281	0.762456005342
E7.10.Poc.dami.2.20150621.T	0.900259228631	0.861353428036	0.92517678691	0.762823575006	0.896360226116	0.923438088991	0.922711135644	0.80449338045	0.922934610127	0.867529629097	0.818154717639	0.796589094161	0.815109562163	0.836614283474	0.765040270339	0.834604505902	0.799474503889	0.769165465062	0.0	0.781413191476	0.860224226493
E7.10.Ser.cali.2.20150622.T	0.935510434351	0.905459625811	0.938038386046	0.727385216347	0.933062835637	0.931348704929	0.925626812506	0.830155912479	0.949600615848	0.837918535434	0.718844922689	0.807391595782	0.86034675644	0.844892348775	0.803887049345	0.696771797494	0.607667176065	0.813690503281	0.781413191476	0.0	0.808565204203
E10.Poc.dami.2.20150628.T	0.957671272615	0.940700358759	0.958521379573	0.837276502918	0.953385163399	0.963014559484	0.93946865556	0.846322954622	0.952927253963	0.811351067318	0.816527928019	0.820028498525	0.857776259697	0.843566332442	0.875919182251	0.695097163068	0.75811005708	0.762456005342	0.860224226493	0.808565204203	0.0
